Min,Max,Median,Mean,Variance,StandardDeviation,AngularSecondMoment,Contrast,Correlation,Variance,Homogeneity,SumAverage,SumVariance,SumEntropy,Entropy,DifferenceVariance,DifferenceEntropy,InformationMeasureOfCorrelation1,InformationMeasureOfCorrelation2,NumberOfVesselPixels,VesselDensity,SumOfVesselsLength,GrayLevelCoefficientVariation
0.117647,0.733333,0.454902,0.463748,0.015976,0.126398,0.000904,125.020535,0.937831,1008.502574,0.155579,235.555834,3908.989762,7.687995,10.328371,0.000308,4.400978,-0.486579,0.999345,216.000000,0.210938,99.000000,0.240210
0.168627,0.631373,0.419608,0.418727,0.009848,0.099239,0.001016,82.643503,0.933617,623.679984,0.158154,213.185793,2412.076433,7.366106,10.159866,0.000408,4.157671,-0.436496,0.998262,156.000000,0.152344,84.000000,0.225849
0.243137,0.784314,0.533333,0.533858,0.015454,0.124313,0.000868,181.768487,0.907830,987.515112,0.144264,271.341945,3768.291963,7.648651,10.367414,0.000274,4.550184,-0.476605,0.999234,198.000000,0.193359,96.000000,0.171402
0.250980,0.772549,0.549020,0.547220,0.011926,0.109205,0.000871,188.384406,0.874967,755.489519,0.136291,278.815988,2833.573669,7.526632,10.352787,0.000260,4.615390,-0.451686,0.998802,219.000000,0.213867,102.000000,0.171580
0.239216,0.745098,0.564706,0.550693,0.008419,0.091756,0.001117,153.035900,0.857022,536.228693,0.167426,280.571638,1991.878870,7.275306,10.092033,0.000352,4.354981,-0.431157,0.998032,155.000000,0.151367,74.000000,0.159858
0.125490,0.466667,0.290196,0.287944,0.006102,0.078113,0.001282,40.330182,0.947946,388.126843,0.198794,145.584182,1512.177190,7.114487,9.868551,0.000721,3.693226,-0.412146,0.996944,115.000000,0.112305,57.000000,0.209777
0.250980,0.909804,0.627451,0.632663,0.019903,0.141078,0.000893,183.880138,0.928181,1281.533955,0.163930,322.024893,4942.255681,7.806100,10.331790,0.000287,4.392951,-0.519618,0.999643,169.000000,0.165039,76.000000,0.223541
0.360784,1.000000,0.796078,0.775605,0.016815,0.129674,0.000945,288.251211,0.866281,1078.957598,0.146326,395.485765,4027.579181,7.629428,10.282479,0.000220,4.656493,-0.487314,0.999332,183.000000,0.178711,84.000000,0.165354
0.215686,0.745098,0.509804,0.507104,0.014798,0.121649,0.000967,103.435232,0.945366,947.538228,0.177151,257.859221,3686.717680,7.627343,10.231075,0.000383,4.154023,-0.488965,0.999323,146.000000,0.142578,73.000000,0.191824
0.121569,0.572549,0.349020,0.340679,0.009400,0.096952,0.001127,47.862659,0.959132,587.536791,0.173611,173.119830,2302.284506,7.366082,10.037889,0.000543,3.822655,-0.450788,0.998533,103.000000,0.100586,62.000000,0.326800
0.309804,0.686275,0.533333,0.524020,0.005366,0.073252,0.001286,52.483017,0.922375,338.712178,0.174119,266.919607,1302.365694,7.008000,9.870473,0.000442,3.892880,-0.392571,0.995913,147.000000,0.143555,88.000000,0.127353
0.203922,0.690196,0.474510,0.479297,0.009477,0.097350,0.000941,199.489269,0.835433,606.911438,0.137015,243.705255,2228.156483,7.361822,10.282548,0.000292,4.614432,-0.421635,0.997935,230.000000,0.224609,97.000000,0.173963
0.403922,0.972549,0.694118,0.692708,0.015527,0.124607,0.000885,197.351465,0.898346,973.366414,0.152762,352.912632,3696.114191,7.687817,10.341002,0.000246,4.461497,-0.488858,0.999370,168.000000,0.164062,79.000000,0.136750
0.215686,0.615686,0.447059,0.441402,0.009021,0.094977,0.001179,69.788493,0.939519,577.898616,0.186431,224.785453,2241.805971,7.297000,10.004410,0.000481,4.004691,-0.437767,0.998136,136.000000,0.132812,67.000000,0.170279
0.431373,1.000000,0.905882,0.873610,0.014683,0.121175,0.002077,228.176712,0.877381,932.489368,0.179978,445.793078,3501.780758,7.107713,9.694646,0.000264,4.418945,-0.452780,0.998264,132.000000,0.128906,71.000000,0.136944
0.156863,0.639216,0.341176,0.363875,0.014127,0.118856,0.001010,85.954922,0.951615,892.199622,0.169069,184.619106,3482.843564,7.503916,10.186284,0.000410,4.140912,-0.457353,0.998773,129.000000,0.125977,71.000000,0.230271
0.349020,0.992157,0.690196,0.675195,0.023729,0.154042,0.000775,228.266617,0.924585,1516.358862,0.135173,343.680379,5837.168830,7.921584,10.508634,0.000189,4.764764,-0.526944,0.999726,214.000000,0.208984,108.000000,0.174356
0.145098,0.541176,0.352941,0.362875,0.006889,0.082999,0.001101,87.663989,0.899416,436.617046,0.159293,184.560321,1658.804193,7.121694,10.079393,0.000445,4.215941,-0.387338,0.996032,184.000000,0.179688,95.000000,0.186245
0.329412,0.823529,0.560784,0.564652,0.011635,0.107865,0.001099,101.269039,0.931237,738.875136,0.190006,287.452312,2854.231503,7.495941,10.110873,0.000365,4.114310,-0.471107,0.998999,173.000000,0.168945,79.000000,0.155891
0.047059,0.635294,0.356863,0.341238,0.014202,0.119173,0.000948,68.286632,0.962096,902.480974,0.164877,173.010243,3541.637265,7.650041,10.255192,0.000423,4.059737,-0.483680,0.999271,143.000000,0.139648,83.000000,0.361646
0.380392,0.905882,0.662745,0.660386,0.012315,0.110972,0.000971,71.976278,0.952973,767.345448,0.168972,336.647925,2997.405512,7.557301,10.219265,0.000320,4.030214,-0.469694,0.999050,80.000000,0.078125,43.000000,0.122272
0.101961,0.639216,0.360784,0.360819,0.011271,0.106167,0.000933,113.151364,0.920247,711.199798,0.144424,183.343335,2731.647829,7.511769,10.284054,0.000358,4.347142,-0.454929,0.998820,220.000000,0.214844,102.000000,0.280683
0.090196,0.368627,0.207843,0.211972,0.003372,0.058067,0.001495,39.156152,0.905859,208.974555,0.192695,106.428118,796.742067,6.716036,9.660032,0.000865,3.704471,-0.337153,0.989703,150.000000,0.146484,69.000000,0.233240
0.250980,0.870588,0.600000,0.582219,0.019632,0.140113,0.000819,218.451426,0.913429,1262.651310,0.132235,296.168030,4832.153815,7.820678,10.436342,0.000223,4.686403,-0.504360,0.999560,215.000000,0.209961,98.000000,0.202605
0.266667,0.776471,0.552941,0.550203,0.010107,0.100532,0.000931,150.872342,0.882234,642.018420,0.144988,279.983408,2417.201339,7.433799,10.274714,0.000296,4.418068,-0.438147,0.998398,189.000000,0.184570,98.000000,0.158867
0.258824,0.717647,0.525490,0.518267,0.010370,0.101832,0.000943,192.826052,0.854904,665.080892,0.138734,263.838506,2467.497518,7.430013,10.275915,0.000280,4.605178,-0.434585,0.998326,203.000000,0.198242,91.000000,0.155651
0.286275,0.780392,0.564706,0.569424,0.012378,0.111255,0.001075,79.739936,0.949136,785.790978,0.192073,290.090384,3063.423975,7.501693,10.113287,0.000387,4.035805,-0.479029,0.999132,135.000000,0.131836,66.000000,0.175864
0.227451,0.690196,0.521569,0.512898,0.009258,0.096218,0.001074,102.020755,0.914044,594.819225,0.173157,261.009162,2277.256145,7.329531,10.124754,0.000377,4.231230,-0.432938,0.998114,198.000000,0.193359,104.000000,0.189721
0.392157,1.000000,0.847059,0.824583,0.019549,0.139819,0.001468,327.377049,0.869849,1258.644962,0.161764,420.634642,4707.202799,7.470387,10.037011,0.000209,4.802082,-0.479879,0.999113,198.000000,0.193359,92.000000,0.122911
0.125490,0.525490,0.317647,0.317758,0.008229,0.090715,0.001207,43.998488,0.957587,520.007829,0.192329,161.329783,2036.032826,7.278154,9.965283,0.000625,3.757730,-0.436805,0.998068,90.000000,0.087891,44.000000,0.256876
0.164706,0.666667,0.439216,0.434237,0.011985,0.109477,0.001024,67.583279,0.955585,762.653033,0.171329,220.749967,2983.028854,7.551815,10.170433,0.000440,3.983122,-0.473976,0.999084,98.000000,0.095703,48.000000,0.213094
0.098039,0.462745,0.298039,0.289147,0.006021,0.077596,0.001314,39.906478,0.946575,375.361206,0.180816,146.944508,1461.538346,7.066944,9.850290,0.000676,3.730539,-0.405180,0.996585,61.000000,0.059570,33.000000,0.330974
0.345098,0.996078,0.749020,0.739568,0.013621,0.116707,0.000982,124.611887,0.926454,850.862574,0.156893,376.841514,3278.838409,7.607344,10.224141,0.000264,4.280506,-0.484402,0.999266,150.000000,0.146484,94.000000,0.160180
0.443137,0.858824,0.650980,0.657851,0.007735,0.087948,0.001279,72.293883,0.925209,484.319825,0.202394,335.770942,1864.985417,7.239223,9.906155,0.000412,3.814246,-0.439797,0.998085,108.000000,0.105469,51.000000,0.079815
0.160784,0.639216,0.439216,0.433498,0.009679,0.098382,0.001063,87.663209,0.927765,608.346039,0.164499,220.932476,2345.720949,7.376904,10.117982,0.000405,4.161409,-0.444755,0.998458,117.000000,0.114258,53.000000,0.218946
0.247059,0.701961,0.431373,0.450211,0.010379,0.101878,0.001042,76.916379,0.940808,651.431702,0.183664,229.024681,2528.810429,7.410347,10.141297,0.000405,4.070001,-0.450428,0.998601,192.000000,0.187500,102.000000,0.176102
0.168627,0.819608,0.552941,0.532096,0.018040,0.134315,0.000914,176.222189,0.924158,1161.973253,0.148205,270.880130,4471.670823,7.747166,10.329557,0.000275,4.490888,-0.502418,0.999508,144.000000,0.140625,69.000000,0.241480
0.294118,0.847059,0.603922,0.598579,0.017084,0.130708,0.000930,130.557452,0.940173,1093.701008,0.153284,304.571044,4244.246580,7.653403,10.286302,0.000291,4.323194,-0.494863,0.999415,164.000000,0.160156,71.000000,0.182511
0.164706,0.619608,0.407843,0.399885,0.008685,0.093195,0.001093,70.330539,0.935566,547.554457,0.169013,203.611741,2119.887289,7.334406,10.088723,0.000450,4.023995,-0.433130,0.998094,149.000000,0.145508,78.000000,0.254774
0.172549,0.627451,0.439216,0.431897,0.007871,0.088718,0.000967,166.058167,0.835234,504.312905,0.131756,219.699686,1851.193453,7.241911,10.247071,0.000318,4.563524,-0.397023,0.996849,233.000000,0.227539,115.000000,0.158967
0.207843,0.670588,0.447059,0.455549,0.010279,0.101384,0.000949,126.017625,0.903841,655.462893,0.150960,232.166542,2495.833947,7.431269,10.251941,0.000353,4.354431,-0.439843,0.998449,176.000000,0.171875,82.000000,0.186920
0.156863,0.694118,0.423529,0.429201,0.016011,0.126535,0.000946,74.633528,0.963146,1016.724337,0.161742,218.242415,3992.263821,7.663200,10.257234,0.000395,4.064999,-0.488341,0.999329,106.000000,0.103516,51.000000,0.208022
0.094118,0.584314,0.370588,0.361926,0.011309,0.106342,0.000943,102.291038,0.929183,724.032893,0.146356,183.923875,2793.840533,7.475559,10.263106,0.000382,4.318359,-0.439907,0.998448,175.000000,0.170898,93.000000,0.251552
0.392157,0.968627,0.645098,0.655316,0.018015,0.134222,0.000888,156.476936,0.931102,1137.072061,0.152647,333.664388,4391.811307,7.745152,10.334072,0.000260,4.308931,-0.506448,0.999544,151.000000,0.147461,64.000000,0.115667
